tqq,tss,nooverlap
t7378c9,t5846c7,0
t7378c9,t5867c1,0
t7378c9,t5881c1,0
t7378c9,t5906c1,0
t7378c9,t5909c2,0
t7378c9,t5910c3,0
t7378c9,t5914c0,0
t7378c9,t5919c1,0
t7378c9,t5932c1,0
t7378c9,t5943c1,0
t7378c9,t5960c1,0
t7378c9,t5964c0,0
t7378c9,t5979c4,0
t7378c9,t5988c4,0
t7378c9,t5999c1,0
t7378c9,t6020c0,0
t7378c9,t6031c1,0
t7378c9,t6031c2,0
t7378c9,t6031c3,0
t7378c9,t6041c0,0
t7378c9,t6046c2,0
t7378c9,t6055c0,0
t7378c9,t6057c0,0
t7378c9,t6071c3,0
t7378c9,t6079c1,0
t7378c9,t6101c0,0
t7378c9,t6107c0,0
t7378c9,t6140c2,0
t7378c9,t6142c0,0
t7378c9,t6154c4,0
t7378c9,t6156c0,0
t7378c9,t6158c1,0
t7378c9,t6174c0,0
t7378c9,t6177c2,0
t7378c9,t6180c9,0
t7378c9,t6190c0,0
t7378c9,t6216c1,0
t7378c9,t6249c4,0
t7378c9,t6252c1,0
t7378c9,t6262c0,0
t7378c9,t6294c1,0
t7378c9,t6296c0,0
t7378c9,t6296c3,0
t7378c9,t6301c3,0
t7378c9,t6302c1,0
t7378c9,t6331c6,0
t7378c9,t6341c1,0
t7378c9,t6367c1,0
t7378c9,t6383c0,0
t7378c9,t6394c1,0
t7378c9,t6397c1,0
t7378c9,t6398c2,0
t7378c9,t6432c3,0
t7378c9,t6468c3,0
t7378c9,t6479c1,0
t7378c9,t6491c4,0
t7378c9,t6497c1,0
t7378c9,t6512c3,0
t7378c9,t6581c0,0
t7378c9,t6583c2,0
t7378c9,t6588c0,0
t7378c9,t6603c0,0
t7378c9,t6623c6,0
t7378c9,t6651c1,0
t7378c9,t6661c1,0
t7378c9,t6682c2,0
t7378c9,t6707c3,0
t7378c9,t6737c1,0
t7378c9,t6738c4,0
t7378c9,t6746c0,0
t7378c9,t6749c6,0
t7378c9,t6754c0,0
t7378c9,t6758c5,0
t7378c9,t6764c2,0
t7378c9,t6768c1,0
t7378c9,t6779c0,0
