tqq,tss,nooverlap
t9136c4,t8335c5,37
t9136c4,t8391c2,41
t9136c4,t8481c3,28
t9136c4,t8528c3,65
t9136c4,t8535c1,59
t9136c4,t8559c7,32
t9136c4,t8571c5,33
t9136c4,t8574c3,62
t9136c4,t8596c7,32
t9136c4,t8628c5,37
t9136c4,t8649c7,32
t9136c4,t8659c5,37
t9136c4,t8671c5,55
t9136c4,t8671c6,60
t9136c4,t8759c3,62
t9136c4,t8761c5,37
t9136c4,t8690c4,53
t9136c4,t8707c2,36
t9136c4,t8745c5,33
t9136c4,t8819c2,75
t9136c4,t8982c0,58
t9136c4,t9019c0,29
t9136c4,t9019c2,25
t9136c4,t9029c1,24
t9136c4,t8908c5,33
t9136c4,t8939c1,35
t9136c4,t9082c5,55
t9136c4,t9082c6,60
t9136c4,t9101c4,62
t9136c4,t9110c3,75
t9136c4,t9110c4,34
t9136c4,t9110c6,74
t9136c4,t9110c20,61
t9136c4,t9110c21,61
t9136c4,t9125c0,80
t9136c4,t9128c15,47
t9136c4,t9136c1,11
t9136c4,t9155c5,50
t9136c4,t9155c6,75
t9136c4,t9168c3,74
t9136c4,t9172c4,61
t9136c4,t9253c3,62
t9136c4,t9254c7,32
t9136c4,t9278c5,37
t9136c4,t9287c3,62
t9136c4,t9335c4,65
t9136c4,t9354c2,31
t9136c4,t9358c5,37
t9136c4,t9371c4,73
t9136c4,t9381c5,55
t9136c4,t9381c6,60
t9136c4,t9419c5,37
t9136c4,t9426c5,37
t9136c4,t9473c5,37
t9136c4,t9674c7,32
t9136c4,t9684c5,55
t9136c4,t9684c6,60
t9136c4,t9769c0,3
t9136c4,t9786c5,33
t9136c4,t9811c3,60
t9136c4,t9815c5,50
t9136c4,t9815c6,75
t9136c4,t9967c0,43
t9136c4,t9967c4,38
t9136c4,t9858c4,62
t9136c4,t9870c3,62
t9136c4,t9959c5,55
t9136c4,t9899c5,33
t9136c4,t9920c4,46
t9136c4,t9920c7,25
t9136c4,t9932c1,55
t9136c4,t9938c1,24
t9136c4,t9938c5,56
t9136c4,t9951c4,73
t9136c4,t9984c7,27
t9136c4,t9984c9,36
t9136c4,t9984c12,32
t9136c4,t9984c14,39
t9136c4,t9997c1,56
t9136c4,t9997c2,55
t9136c4,t10042c2,56
t9136c4,t10075c5,37
t9136c4,t10079c0,7
t9136c4,t10149c5,50
t9136c4,t10149c6,75
t9136c4,t10152c0,70
t9136c4,t10204c5,55
t9136c4,t10204c6,60
t9136c4,t10219c2,70
t9136c4,t10241c3,62
t9136c4,t10287c5,37
t9136c4,t10301c5,33
t9136c4,t10302c9,40
t9136c4,t10302c10,60
t9136c4,t10302c11,60
t9136c4,t10309c5,37
t9136c4,t10377c3,50
t9136c4,t10435c1,62
t9136c4,t10440c2,68
t9136c4,t10480c5,33
t9136c4,t10491c3,62
t9136c4,t10496c3,60
t9136c4,t10512c4,60
t9136c4,t10516c5,55
t9136c4,t10516c6,60
t9136c4,t10521c5,33
t9136c4,t10533c7,61
t9136c4,t10551c1,68
t9136c4,t10563c4,72
t9136c4,t10572c1,57
t9136c4,t10587c5,59
t9136c4,t10596c3,62
t9136c4,t10597c5,37
t9136c4,t10635c3,61
t9136c4,t10646c3,62
t9136c4,t10648c5,45
t9136c4,t10659c5,37
t9136c4,t10687c3,67
t9136c4,t10687c5,68
t9136c4,t10687c6,60
t9136c4,t10709c3,62
t9136c4,t10715c5,55
t9136c4,t10715c6,60
t9136c4,t10725c7,41
t9136c4,t10754c4,73
t9136c4,t10755c3,58
t9136c4,t10765c4,45
t9136c4,t10788c4,34
t9136c4,t10818c3,62
t9136c4,t10863c8,68
t9136c4,t10873c5,55
t9136c4,t10873c6,60
t9136c4,t10877c3,62
t9136c4,t11050c5,37
t9136c4,t11059c5,55
t9136c4,t10998c3,69
t9136c4,t11024c5,37
t9136c4,t11028c5,50
t9136c4,t11028c6,75
t9136c4,t10906c5,33
t9136c4,t10923c5,37
t9136c4,t10924c4,60
t9136c4,t11109c1,45
t9136c4,t11209c8,75
t9136c4,t11215c6,53
t9136c4,t11223c5,35
t9136c4,t11241c0,20
t9136c4,t11241c4,11
t9136c4,t11324c5,37
t9136c4,t11298c1,54
t9136c4,t11356c0,1
t9136c4,t11356c1,39
t9136c4,t11374c5,50
t9136c4,t11374c6,75
t9136c4,t11413c1,72
t9136c4,t11424c3,62
t9136c4,t11430c5,33
t9136c4,t11461c3,62
t9136c4,t11465c3,62
t9136c4,t11520c5,59
t9136c4,t11563c2,14
t9136c4,t11569c2,69
t9136c4,t11573c5,33
t9136c4,t11589c5,50
t9136c4,t11589c6,75
t9136c4,t11619c3,62
t9136c4,t11656c5,33
t9136c4,t11705c0,62
t9136c4,t11706c3,65
t9136c4,t11712c4,60
t9136c4,t11717c3,58
t9136c4,t11720c1,65
t9136c4,t11784c5,33
t9136c4,t11792c2,59
t9136c4,t11829c3,32
t9136c4,t11838c0,41
t9136c4,t11838c1,31
t9136c4,t11841c3,65
t9136c4,t11857c7,32
t9136c4,t11958c5,33
t9136c4,t11889c5,33
t9136c4,t11891c5,33
t9136c4,t11921c5,59
t9136c4,t11929c2,66
t9136c4,t11929c3,69
t9136c4,t11952c4,53
t9136c4,t12022c1,54
t9136c4,t12100c5,37
t9136c4,t12106c5,55
t9136c4,t12106c6,60
t9136c4,t12110c4,37
t9136c4,t12177c7,32
t9136c4,t12190c5,37
t9136c4,t12258c5,33
t9136c4,t12261c2,48
t9136c4,t12354c2,52
t9136c4,t12434c7,32
t9136c4,t12443c3,62
t9136c4,t12458c2,59
t9136c4,t12513c2,36
t9136c4,t12515c1,23
t9136c4,t12516c9,70
t9136c4,t12516c10,59
