tqq,tss,nooverlap
t1793c0,t1121c4,84
t1793c0,t1123c0,98
t1793c0,t1123c2,96
t1793c0,t1124c0,91
t1793c0,t1124c2,97
t1793c0,t1125c3,96
t1793c0,t1127c0,99
t1793c0,t1128c0,99
t1793c0,t1130c1,91
t1793c0,t1133c2,98
t1793c0,t1136c7,99
t1793c0,t1141c2,87
t1793c0,t1143c6,98
t1793c0,t1144c1,95
t1793c0,t1145c2,92
t1793c0,t1145c3,94
t1793c0,t1145c5,93
t1793c0,t1146c0,95
t1793c0,t1150c0,93
t1793c0,t1153c1,99
t1793c0,t1159c0,99
t1793c0,t1160c1,89
t1793c0,t1163c3,97
t1793c0,t1163c4,97
t1793c0,t1167c0,91
t1793c0,t1168c0,89
t1793c0,t1168c2,93
t1793c0,t1169c2,99
t1793c0,t1169c3,99
t1793c0,t1171c1,90
t1793c0,t1175c3,98
t1793c0,t1175c4,85
t1793c0,t1185c1,94
t1793c0,t1185c2,94
t1793c0,t1185c3,95
t1793c0,t1185c4,95
t1793c0,t1188c0,99
t1793c0,t1194c2,91
t1793c0,t1197c1,91
t1793c0,t1198c0,99
t1793c0,t1198c1,99
t1793c0,t1199c3,99
t1793c0,t1200c1,83
t1793c0,t1202c0,99
t1793c0,t1202c1,99
t1793c0,t1205c3,94
t1793c0,t1206c3,99
t1793c0,t1206c4,92
t1793c0,t1207c1,99
t1793c0,t1216c0,98
t1793c0,t1216c1,87
t1793c0,t1219c1,87
t1793c0,t1220c1,99
t1793c0,t1221c0,99
t1793c0,t1221c9,98
t1793c0,t1222c2,98
t1793c0,t1223c0,96
t1793c0,t1223c3,97
t1793c0,t1227c1,99
t1793c0,t1227c2,91
t1793c0,t1231c1,96
t1793c0,t1239c1,86
t1793c0,t1240c0,93
t1793c0,t1240c1,99
t1793c0,t1240c2,92
t1793c0,t1242c0,98
t1793c0,t1242c1,85
t1793c0,t1243c6,99
t1793c0,t1246c2,89
t1793c0,t1247c1,99
t1793c0,t1247c6,79
t1793c0,t1249c0,98
t1793c0,t1249c1,93
t1793c0,t1255c0,99
t1793c0,t1255c5,98
t1793c0,t1256c0,99
t1793c0,t1258c2,97
t1793c0,t1264c0,91
t1793c0,t1264c1,98
t1793c0,t1264c2,98
t1793c0,t1269c3,97
t1793c0,t1269c4,97
t1793c0,t1270c0,98
t1793c0,t1270c1,85
t1793c0,t1278c1,97
t1793c0,t1279c0,99
t1793c0,t1281c5,93
t1793c0,t1282c0,99
t1793c0,t1282c1,99
t1793c0,t1284c3,98
t1793c0,t1284c9,99
t1793c0,t1292c3,95
t1793c0,t1295c0,86
t1793c0,t1297c3,96
t1793c0,t1299c0,88
t1793c0,t1299c1,91
t1793c0,t1314c0,99
t1793c0,t1314c1,99
t1793c0,t1315c0,97
t1793c0,t1315c3,79
t1793c0,t1317c0,89
t1793c0,t1317c2,97
t1793c0,t1319c0,99
t1793c0,t1320c2,98
t1793c0,t1321c0,99
t1793c0,t1321c1,99
t1793c0,t1325c3,92
t1793c0,t1329c0,94
t1793c0,t1330c0,99
t1793c0,t1330c1,99
t1793c0,t1339c8,87
t1793c0,t1341c0,96
t1793c0,t1343c0,94
t1793c0,t1343c2,99
t1793c0,t1345c0,94
t1793c0,t1345c2,99
t1793c0,t1346c0,99
t1793c0,t1346c1,99
t1793c0,t1347c3,97
t1793c0,t1347c4,97
t1793c0,t1348c0,93
t1793c0,t1350c0,93
t1793c0,t1351c0,90
t1793c0,t1352c3,94
t1793c0,t1355c1,87
t1793c0,t1357c0,99
t1793c0,t1363c0,86
t1793c0,t1363c4,99
t1793c0,t1368c1,98
t1793c0,t1373c1,96
t1793c0,t1374c2,98
t1793c0,t1375c0,98
t1793c0,t1375c1,86
t1793c0,t1377c1,99
t1793c0,t1377c6,78
t1793c0,t1380c0,98
t1793c0,t1382c3,92
t1793c0,t1383c2,97
t1793c0,t1385c1,91
t1793c0,t1390c1,85
t1793c0,t1390c2,97
t1793c0,t1391c1,96
t1793c0,t1391c9,93
t1793c0,t1392c0,97
t1793c0,t1394c0,99
t1793c0,t1396c3,95
t1793c0,t1396c4,93
t1793c0,t1397c1,85
t1793c0,t1399c1,99
t1793c0,t1400c0,99
t1793c0,t1402c1,99
t1793c0,t1402c6,79
t1793c0,t1405c1,84
t1793c0,t1405c2,99
t1793c0,t1408c3,96
t1793c0,t1412c7,99
t1793c0,t1415c0,99
t1793c0,t1416c1,97
t1793c0,t1422c3,97
t1793c0,t1422c4,97
t1793c0,t1423c1,94
t1793c0,t1427c1,96
t1793c0,t1431c0,98
t1793c0,t1432c0,98
t1793c0,t1432c1,84
t1793c0,t1435c0,98
t1793c0,t1435c1,87
t1793c0,t1437c3,92
t1793c0,t1439c0,99
t1793c0,t1443c3,96
t1793c0,t1444c1,98
t1793c0,t1447c1,99
t1793c0,t1448c3,99
t1793c0,t1448c4,98
t1793c0,t1449c0,99
t1793c0,t1450c1,94
t1793c0,t1450c3,93
t1793c0,t1454c0,98
t1793c0,t1454c1,86
t1793c0,t1458c1,97
t1793c0,t1460c7,99
t1793c0,t1463c0,92
t1793c0,t1463c1,92
t1793c0,t1463c2,94
t1793c0,t1463c3,91
t1793c0,t1463c4,98
t1793c0,t1463c5,95
t1793c0,t1463c6,94
t1793c0,t1464c2,98
t1793c0,t1466c0,99
t1793c0,t1466c1,99
t1793c0,t1468c0,98
t1793c0,t1468c1,97
t1793c0,t1469c4,97
t1793c0,t1469c5,97
t1793c0,t1472c3,92
t1793c0,t1478c1,90
t1793c0,t1483c1,98
t1793c0,t1487c0,98
t1793c0,t1487c1,85
t1793c0,t1490c1,87
t1793c0,t1492c2,95
t1793c0,t1493c1,96
t1793c0,t1496c3,97
t1793c0,t1496c4,97
t1793c0,t1497c0,97
t1793c0,t1498c0,98
t1793c0,t1498c1,88
t1793c0,t1499c0,91
t1793c0,t1499c4,99
t1793c0,t1502c5,96
t1793c0,t1503c0,89
t1793c0,t1504c0,99
t1793c0,t1504c1,99
t1793c0,t1506c2,99
t1793c0,t1509c1,98
t1793c0,t1510c1,98
t1793c0,t1511c1,99
t1793c0,t1514c0,98
t1793c0,t1514c1,97
t1793c0,t1522c1,96
t1793c0,t1525c3,98
t1793c0,t1526c1,99
t1793c0,t1530c0,99
t1793c0,t1531c2,87
t1793c0,t1533c0,99
